441
3.447   .00   3.046
3.447   .50   2.939
3.447  1.00   2.831
3.447  1.50   2.723
3.447  2.00   2.615
3.447  2.50   2.508
3.447  3.00   2.400
3.447  3.50   2.293
3.447  4.00   2.185
3.447  4.50   2.077
3.447  5.00   1.969
3.447  5.50   1.861
3.447  6.00   1.754
3.477   .00   2.460
3.477   .50   2.388
3.477  1.00   2.315
3.477  1.50   2.242
3.477  2.00   2.169
3.477  2.50   2.097
3.477  3.00   2.024
3.477  3.50   1.951
3.477  4.00   1.879
3.477  4.50   1.806
3.477  5.00   1.733
3.477  5.50   1.660
3.477  6.00   1.587
3.512   .00   1.835
3.512   .50   1.795
3.512  1.00   1.757
3.512  1.50   1.718
3.512  2.00   1.679
3.512  2.50   1.640
3.512  3.00   1.601
3.512  3.50   1.562
3.512  4.00   1.523
3.512  4.50   1.484
3.512  5.00   1.445
3.512  5.50   1.406
3.512  6.00   1.367
3.544   .00   1.325
3.544   .50   1.312
3.544  1.00   1.298
3.544  1.50   1.285
3.544  2.00   1.272
3.544  2.50   1.259
3.544  3.00   1.245
3.544  3.50   1.232
3.544  4.00   1.219
3.544  4.50   1.206
3.544  5.00   1.193
3.544  5.50   1.179
3.544  6.00   1.166
3.574   .00    .932
3.574   .50    .934
3.574  1.00    .936
3.574  1.50    .937
3.574  2.00    .939
3.574  2.50    .941
3.574  3.00    .943
3.574  3.50    .945
3.574  4.00    .947
3.574  4.50    .948
3.574  5.00    .950
3.574  5.50    .952
3.574  6.00    .954
3.602   .00    .665
3.602   .50    .676
3.602  1.00    .687
3.602  1.50    .697
3.602  2.00    .708
3.602  2.50    .719
3.602  3.00    .730
3.602  3.50    .741
3.602  4.00    .752
3.602  4.50    .762
3.602  5.00    .773
3.602  5.50    .784
3.602  6.00    .795
3.628   .00    .516
3.628   .50    .530
3.628  1.00    .544
3.628  1.50    .557
3.628  2.00    .570
3.628  2.50    .583
3.628  3.00    .596
3.628  3.50    .611
3.628  4.00    .627
3.628  4.50    .642
3.628  5.00    .656
3.628  5.50    .668
3.628  6.00    .679
3.653   .00    .448
3.653   .50    .461
3.653  1.00    .472
3.653  1.50    .483
3.653  2.00    .493
3.653  2.50    .503
3.653  3.00    .515
3.653  3.50    .530
3.653  4.00    .546
3.653  4.50    .562
3.653  5.00    .573
3.653  5.50    .582
3.653  6.00    .587
3.699   .00    .368
3.699   .50    .376
3.699  1.00    .384
3.699  1.50    .392
3.699  2.00    .399
3.699  2.50    .407
3.699  3.00    .415
3.699  3.50    .426
3.699  4.00    .439
3.699  4.50    .451
3.699  5.00    .459
3.699  5.50    .465
3.699  6.00    .467
3.740   .00    .300
3.740   .50    .306
3.740  1.00    .313
3.740  1.50    .320
3.740  2.00    .328
3.740  2.50    .337
3.740  3.00    .345
3.740  3.50    .354
3.740  4.00    .364
3.740  4.50    .374
3.740  5.00    .381
3.740  5.50    .387
3.740  6.00    .391
3.778   .00    .243
3.778   .50    .245
3.778  1.00    .250
3.778  1.50    .256
3.778  2.00    .265
3.778  2.50    .275
3.778  3.00    .284
3.778  3.50    .293
3.778  4.00    .302
3.778  4.50    .310
3.778  5.00    .318
