G(x,y) = a + b*x + c*y +d*x*y
  a  -2.86185E+01   b  7.75978E+00   c  1.11741E-01   d -3.25913E-02
  Fit quality =  7.93418E+00
441
4.000  5.50    -.002
4.000  6.00     .005
4.041   .00     .381
4.041   .50     .223
4.041  1.00     .108
4.041  1.50     .027
4.041  2.00    -.006
4.041  2.50    -.019
4.041  3.00    -.025
4.041  3.50    -.028
4.041  4.00    -.030
4.041  4.50    -.031
4.041  5.00    -.031
4.041  5.50    -.030
4.041  6.00    -.028
4.079   .00     .367
4.079   .50     .211
4.079  1.00     .097
4.079  1.50     .017
4.079  2.00    -.015
4.079  2.50    -.028
4.079  3.00    -.034
4.079  3.50    -.038
4.079  4.00    -.041
4.079  4.50    -.043
4.079  5.00    -.043
4.079  5.50    -.043
4.079  6.00    -.041
4.114   .00     .354
4.114   .50     .200
4.114  1.00     .087
4.114  1.50     .007
4.114  2.00    -.024
4.114  2.50    -.037
4.114  3.00    -.043
4.114  3.50    -.047
4.114  4.00    -.050
4.114  4.50    -.052
4.114  5.00    -.052
4.114  5.50    -.052
4.114  6.00    -.050
4.146   .00     .354
4.146   .50     .197
4.146  1.00     .082
4.146  1.50     .000
4.146  2.00    -.032
4.146  2.50    -.046
4.146  3.00    -.052
4.146  3.50    -.056
4.146  4.00    -.058
4.146  4.50    -.060
4.146  5.00    -.061
4.146  5.50    -.062
4.146  6.00    -.063
4.176   .00     .375
4.176   .50     .208
4.176  1.00     .085
4.176  1.50    -.003
4.176  2.00    -.039
4.176  2.50    -.054
4.176  3.00    -.060
4.176  3.50    -.064
4.176  4.00    -.066
4.176  4.50    -.067
4.176  5.00    -.069
4.176  5.50    -.070
4.176  6.00    -.071
4.204   .00     .395
4.204   .50     .219
4.204  1.00     .089
4.204  1.50    -.004
4.204  2.00    -.044
4.204  2.50    -.061
4.204  3.00    -.067
4.204  3.50    -.070
4.204  4.00    -.072
4.204  4.50    -.073
4.204  5.00    -.075
4.204  5.50    -.077
4.204  6.00    -.079
4.255   .00     .452
4.255   .50     .254
4.255  1.00     .105
4.255  1.50    -.001
4.255  2.00    -.049
4.255  2.50    -.071
4.255  3.00    -.078
4.255  3.50    -.080
4.255  4.00    -.081
4.255  4.50    -.082
4.255  5.00    -.083
4.255  5.50    -.084
4.255  6.00    -.085
4.301   .00     .532
4.301   .50     .305
4.301  1.00     .134
4.301  1.50     .011
4.301  2.00    -.049
4.301  2.50    -.076
4.301  3.00    -.085
4.301  3.50    -.086
4.301  4.00    -.087
4.301  4.50    -.087
4.301  5.00    -.086
4.301  5.50    -.085
4.301  6.00    -.083
4.352   .00    9.999
4.352   .50    9.999
4.352  1.00    9.999
4.352  1.50    9.999
4.352  2.00    9.999
4.352  2.50    9.999
4.352  3.00    9.999
4.352  3.50    9.999
4.352  4.00    9.999
4.352  4.50    9.999
4.352  5.00    9.999
4.352  5.50    9.999
4.352  6.00    9.999
4.398   .00    9.999
4.398   .50    9.999
4.398  1.00    9.999
4.398  1.50    9.999
4.398  2.00    9.999
4.398  2.50    9.999
4.398  3.00    9.999
4.398  3.50    9.999
4.398  4.00    9.999
4.398  4.50    9.999
4.398  5.00    9.999
4.398  5.50    9.999
4.398  6.00    9.999
4.477   .00    9.999
4.477   .50    9.999
4.477  1.00    9.999
4.477  1.50    9.999
4.477  2.00    9.999
4.477  2.50    9.999
4.477  3.00    9.999
4.477  3.50    9.999
4.477  4.00    9.999
4.477  4.50    9.999
4.477  5.00    9.999
4.477  5.50    9.999
4.477  6.00    9.999
4.544   .00    9.999
4.544   .50    9.999
4.544  1.00    9.999
4.544  1.50    9.999
4.544  2.00    9.999
4.544  2.50    9.999
4.544  3.00    9.999
4.544  3.50    9.999
4.544  4.00    9.999
4.544  4.50    9.999
4.544  5.00    9.999
4.544  5.50    9.999
4.544  6.00    9.999
4.602   .00    9.999
4.602   .50    9.999
4.602  1.00    9.999
4.602  1.50    9.999
4.602  2.00    9.999
4.602  2.50    9.999
4.602  3.00    9.999
4.602  3.50    9.999
4.602  4.00    9.999
4.602  4.50    9.999
4.602  5.00    9.999
4.602  5.50    9.999
4.602  6.00    9.999
4.653   .00    9.999
4.653   .50    9.999
4.653  1.00    9.999
4.653  1.50    9.999
4.653  2.00    9.999
4.653  2.50    9.999
4.653  3.00    9.999
4.653  3.50    9.999
4.653  4.00    9.999
4.653  4.50    9.999
4.653  5.00    9.999
4.653  5.50    9.999
4.653  6.00    9.999
4.699   .00    9.999
4.699   .50    9.999
4.699  1.00    9.999
4.699  1.50    9.999
4.699  2.00    9.999
4.699  2.50    9.999
4.699  3.00    9.999
4.699  3.50    9.999
4.699  4.00    9.999
4.699  4.50    9.999
4.699  5.00    9.999
4.699  5.50    9.999
4.699  6.00    9.999
